"Data & Information Architecture  ·  Turning raw data into trusted, connected insights",,,,,
Overall weight in GC EA score: 25%,,,,,
#,Q#,Assessment Question,Score (0–10),Maturity Label,Notes / Evidence
  Defining the Current State  —  Section weight: 10%,,,,,
S1,Q1,"How well documented are current data models, entity relationships, and data-sharing agreements?",,—,Enter observations or evidence…
,Q2,"What is the degree of data fragmentation, duplication, and inconsistency across the current solution and its dependencies?",,—,Enter observations or evidence…
,Q3,"How well understood are data volumes, growth rates, residency requirements, and encryption posture?",,—,Enter observations or evidence…
,Q4,Is the lifespan and full data lifecycle — from creation to disposition — mapped and governed?,,—,Enter observations or evidence…
,Q5,"Are data formats proprietary or based on open, interoperable standards?",,—,Enter observations or evidence…
,Q6,"How open and transparent is data publication, and is a default-open approach applied where appropriate?",,—,Enter observations or evidence…
,Q7,Are analytics and trend analysis capabilities available to support decision-making from current data assets?,,—,Enter observations or evidence…
,Q8,"How mature are data access controls, auditing mechanisms, and the ability to trace who accessed what and when?",,—,Enter observations or evidence…
,Q9,"How interoperable is the current data environment with other GC systems, programs, and platforms?",,—,Enter observations or evidence…
Section Average — Defining the Current State,,,,,
,,,,,
  Data Architecture & Standards  —  Section weight: 40%,,,,,
S2,Q10,"Is there a formal, documented data model that reflects all key entities, relationships, attributes, and business rules?",,—,Enter observations or evidence…
,Q11,"How mature is master data management — are authoritative data sources identified, maintained, and trusted?",,—,Enter observations or evidence…
,Q12,"Is data lifecycle governance established, covering creation, versioning, archiving, and secure disposition?",,—,Enter observations or evidence…
,Q13,"Are international and GC data standards applied (e.g., ISO, DCAT, NIEM, GC Open Data Directive)?",,—,Enter observations or evidence…
,Q14,"How well defined is data lineage — can the origin, transformation, and movement of data be traced end-to-end?",,—,Enter observations or evidence…
,Q15,"Is comprehensive metadata management in place, enabling data discovery, classification, and contextual understanding?",,—,Enter observations or evidence…
,Q16,"How mature is data quality management — are completeness, accuracy, consistency, and timeliness measured and enforced?",,—,Enter observations or evidence…
,Q17,"Is data instrumentation in place to capture operational telemetry, audit records, and system-generated metadata?",,—,Enter observations or evidence…
,Q18,"Are data read/write performance requirements (volumes, IOPS, movement patterns) understood and architecturally addressed?",,—,Enter observations or evidence…
,Q19,"Is there a strategy for structured, semi-structured, and unstructured data that applies consistent governance across all types?",,—,Enter observations or evidence…
,Q20,"How well is data residency managed — are intentional copies of data tracked, controlled, and compliant with policy?",,—,Enter observations or evidence…
,Q21,Does the architecture support event-driven data integration patterns and real-time data processing where needed?,,—,Enter observations or evidence…
Section Average — Data Architecture & Standards,,,,,
,,,,,
"  Privacy, Protection & Compliance  —  Section weight: 25%",,,,,
S3,Q22,"Has a Privacy Impact Assessment (PIA) been completed, and does the architecture reflect its recommendations?",,—,Enter observations or evidence…
,Q23,"Is Privacy by Design embedded throughout the solution, from data collection through to disposition?",,—,Enter observations or evidence…
,Q24,"How mature is data categorization — are all data assets classified by sensitivity, and is handling appropriate to classification?",,—,Enter observations or evidence…
,Q25,"Is encryption applied at rest, in transit, and in processing for all data at the appropriate sensitivity level?",,—,Enter observations or evidence…
,Q26,"Are data sovereignty requirements met — is there full awareness of where data resides, crosses borders, and is subject to foreign law?",,—,Enter observations or evidence…
,Q27,"Are data retention and disposition policies enforced, including secure deletion and legal hold capabilities?",,—,Enter observations or evidence…
,Q28,"How well are collection limitation principles applied — is only necessary data collected, with informed consent where required?",,—,Enter observations or evidence…
,Q29,"Is there a documented breach response plan, and has it been tested?",,—,Enter observations or evidence…
,Q30,"Are access controls enforced at the data level, ensuring role-based and attribute-based access is actively governed?",,—,Enter observations or evidence…
"Section Average — Privacy, Protection & Compliance",,,,,
,,,,,
"  Accessibility, Interoperability & Usability  —  Section weight: 5%",,,,,
S4,Q31,"Does the data architecture align with FAIR principles (Findable, Accessible, Interoperable, Reusable)?",,—,Enter observations or evidence…
,Q32,"Are APIs and data-sharing interfaces standards-based and documented, enabling downstream consumption without tight coupling?",,—,Enter observations or evidence…
,Q33,"How accessible is data to authorized consumers, including other departments, partners, and (where appropriate) the public?",,—,Enter observations or evidence…
"Section Average — Accessibility, Interoperability & Usability",,,,,
,,,,,
"  Governance, Oversight & Accountability  —  Section weight: 20%",,,,,
S5,Q34,"Is there a designated data owner and data steward for each key dataset, with documented accountability?",,—,Enter observations or evidence…
,Q35,"How mature is the data governance framework — does it cover policies, standards, roles, dispute resolution, and enforcement?",,—,Enter observations or evidence…
,Q36,"Are data governance decisions transparent and auditable, including any changes to data models, access rules, or classifications?",,—,Enter observations or evidence…
,Q37,"Is there a process to ensure data governance keeps pace with legislative changes (Privacy Act, Access to Information, Bill C-27)?",,—,Enter observations or evidence…
,Q38,"How well is data quality monitored, reported on, and escalated when thresholds are breached?",,—,Enter observations or evidence…
,Q39,"Is there a regular data audit process to validate compliance with policies, identify orphaned data, and assess data health?",,—,Enter observations or evidence…
"Section Average — Governance, Oversight & Accountability",,,,,
,,,,,
OVERALL DATA & INFORMATION ARCHITECTURE SCORE,,,,,
