"Application & Virtual Architecture  ·  Designing agile, scalable application ecosystems",,,,,
Overall weight in GC EA score: 25%,,,,,
#,Q#,Assessment Question,Score (0–10),Maturity Label,Notes / Evidence
  Defining the Current State  —  Section weight: 10%,,,,,
S1,Q1,"Is the current application solution fully documented, including architecture diagrams, data flows, and integration points?",,—,Enter observations or evidence…
,Q2,"How well is the current system instrumented — are resource allocation, consumption, and application health monitored?",,—,Enter observations or evidence…
,Q3,"What is the outstanding technical debt, and is it formally tracked in a backlog with prioritization?",,—,Enter observations or evidence…
,Q4,"When are major software contracts expiring, and is there a renewal or replacement strategy in place?",,—,Enter observations or evidence…
,Q5,"What known security vulnerabilities exist in the current solution, and what is the remediation status?",,—,Enter observations or evidence…
,Q6,"How well understood are the delivery pipeline properties — maturity, automation, deployment frequency, and failure rate?",,—,Enter observations or evidence…
,Q7,"What is the degree of vendor or technology lock-in, and are exit/migration pathways understood?",,—,Enter observations or evidence…
,Q8,Are all upstream and downstream application dependencies mapped and current?,,—,Enter observations or evidence…
,Q9,"What is the known backlog of defects, flaws, and unresolved issues, and how is it managed?",,—,Enter observations or evidence…
Section Average — Defining the Current State,,,,,
,,,,,
  Application Architecture & Build Approach  —  Section weight: 20%,,,,,
S2,Q10,"Is the application type (COTS, configured, custom-built, low/no-code, assembled) clearly defined and justified?",,—,Enter observations or evidence…
,Q11,"Is the delivery methodology (agile, waterfall, hybrid) appropriate to the solution's context and documented?",,—,Enter observations or evidence…
,Q12,"How software-defined is the solution — are configuration, policy, and infrastructure managed as code?",,—,Enter observations or evidence…
,Q13,"Is the application designed with capabilities-based modularity, enabling components to be replaced independently?",,—,Enter observations or evidence…
,Q14,How are interoperability interfaces between internal components and external applications exposed and governed?,,—,Enter observations or evidence…
,Q15,"Is intellectual property ownership clear, and are code licensing obligations tracked and managed?",,—,Enter observations or evidence…
,Q16,"How mature is code reuse — is there a shared code repository, automated integration, and published component catalogue?",,—,Enter observations or evidence…
,Q17,"What is the lowest required integration level (container, VM/OS, physical hardware), and is it minimized where possible?",,—,Enter observations or evidence…
,Q18,"Are volume, redundancy, elasticity, scalability, throttling, and observability requirements defined and implemented?",,—,Enter observations or evidence…
,Q19,"Is the application designed as external-facing, internal enterprise, or administrative — and is the design tailored accordingly?",,—,Enter observations or evidence…
Section Average — Application Architecture & Build Approach,,,,,
,,,,,
  Engineering Practices & Frameworks  —  Section weight: 20%,,,,,
S3,Q20,"How mature is the DevSecOps pipeline — including continuous integration, continuous deployment, automated testing, and security gates?",,—,Enter observations or evidence…
,Q21,"Is test coverage defined, measured, and enforced — including unit, integration, regression, performance, and security testing?",,—,Enter observations or evidence…
,Q22,"How well are coding standards, frameworks, and languages documented, enforced, and aligned with GC guidance?",,—,Enter observations or evidence…
,Q23,Are accessibility standards (WCAG 2.1 AA or equivalent) embedded in the development and QA process?,,—,Enter observations or evidence…
,Q24,Is there an algorithmic impact assessment (AIA) process in place for any AI/ML components in the application?,,—,Enter observations or evidence…
,Q25,"How mature is the code review and peer review process, and is it consistently applied?",,—,Enter observations or evidence…
,Q26,"Are application performance benchmarks established, tested against in CI/CD, and used to gate deployments?",,—,Enter observations or evidence…
,Q27,"Is observability (logging, tracing, metrics) built into the application architecture from the start?",,—,Enter observations or evidence…
Section Average — Engineering Practices & Frameworks,,,,,
,,,,,
  Solution Options & Ecosystem Strategy  —  Section weight: 50%,,,,,
S4,Q28,"Has a multi-disciplinary team — including business, security, privacy, data, and technology — been engaged in solution design?",,—,Enter observations or evidence…
,Q29,"Were enterprise contracts and procurement pathways (GC-wide standing offers, task authorizations) explored before custom sourcing?",,—,Enter observations or evidence…
,Q30,"Was optionality fully investigated — including multi-vendor, open source, and homegrown options — with a documented rationale?",,—,Enter observations or evidence…
,Q31,"Is a Total Cost of Ownership (TCO) model available that includes build, operate, maintain, licensing, and exit costs?",,—,Enter observations or evidence…
,Q32,How well are digital sovereignty considerations addressed — are GC data and systems protected from foreign jurisdiction risk?,,—,Enter observations or evidence…
,Q33,"Is the solution designed to integrate with GC-wide shared services (Sign-In Canada, GC Notify, GC Forms, etc.) where applicable?",,—,Enter observations or evidence…
,Q34,How well does the solution avoid unnecessary duplication with existing GC capabilities and investments?,,—,Enter observations or evidence…
,Q35,Is there a clear strategy for AI integration — including use of GC Foundation Models and GC AI Compute infrastructure?,,—,Enter observations or evidence…
,Q36,"Is the solution designed to be decommissioned or migrated, with a documented sunset and transition strategy?",,—,Enter observations or evidence…
,Q37,How well are supply chain security risks addressed in the sourcing and integration of third-party components?,,—,Enter observations or evidence…
Section Average — Solution Options & Ecosystem Strategy,,,,,
,,,,,
OVERALL APPLICATION & VIRTUAL ARCHITECTURE SCORE,,,,,
