"Technology & Physical Architecture  ·  Building resilient, sovereign infrastructure foundations",,,,,
Overall weight in GC EA score: 25%,,,,,
#,Q#,Assessment Question,Score (0–10),Maturity Label,Notes / Evidence
  Defining the Current State  —  Section weight: 10%,,,,,
S1,Q1,"Are all details of the current solution's hosting environment — hardware, software, network, and configuration — fully documented?",,—,Enter observations or evidence…
,Q2,"Is the current solution healthy, with no critical alerts, capacity issues, or unresolved infrastructure-level incidents?",,—,Enter observations or evidence…
,Q3,"Are there any imminent changes to consumed infrastructure services, and is the solution prepared for those transitions?",,—,Enter observations or evidence…
,Q4,"Is the lifespan of the solution shorter than that of the infrastructure — and if not, is an upgrade plan in the backlog?",,—,Enter observations or evidence…
,Q5,"How well-informed is the team about their infrastructure service provider's roadmap, changes, and service performance?",,—,Enter observations or evidence…
,Q6,"Can infrastructure be ordered and provisioned on demand, and what lead time is required?",,—,Enter observations or evidence…
,Q7,"Is there a clear inventory of all infrastructure components, including versions, patch levels, and support status?",,—,Enter observations or evidence…
Section Average — Defining the Current State,,,,,
,,,,,
  Infrastructure Architecture & Deployment Model  —  Section weight: 25%,,,,,
S2,Q8,"Is the physical hosting model (on-premise EDC, public cloud, private cloud, hybrid) clearly justified and documented?",,—,Enter observations or evidence…
,Q9,"Is the decision between shared and dedicated hardware documented with supporting rationale for cost, isolation, and performance?",,—,Enter observations or evidence…
,Q10,"Are physical kiosks, IoT devices, or specialized hardware requirements identified and architecturally accommodated?",,—,Enter observations or evidence…
,Q11,"How well does the design leverage GC-wide service consolidation, shared footprint, and enterprise infrastructure services?",,—,Enter observations or evidence…
,Q12,"Are elasticity, burst capacity, and auto-scaling requirements defined and architecturally implemented?",,—,Enter observations or evidence…
,Q13,Are High-Performance Computing (HPC) and edge computing needs assessed and addressed where applicable?,,—,Enter observations or evidence…
,Q14,Is GC AI Compute (dedicated GC-owned/controlled GPU infrastructure) considered and evaluated as a first option for AI workloads?,,—,Enter observations or evidence…
,Q15,"Are bandwidth, latency, and network connectivity requirements defined and met by the infrastructure design?",,—,Enter observations or evidence…
,Q16,"Are storage volumes, IOPS, throughput, and data tiering requirements specified and provisioned appropriately?",,—,Enter observations or evidence…
,Q17,"Is the deployment model designed to meet availability, recovery time, and recovery point objectives?",,—,Enter observations or evidence…
Section Average — Infrastructure Architecture & Deployment Model,,,,,
,,,,,
  Modern Engineering Patterns & Platform Design  —  Section weight: 20%,,,,,
S3,Q18,"Is configuration and infrastructure managed as code (IaC/CaC), enabling reproducible and auditable deployments?",,—,Enter observations or evidence…
,Q19,How well does the team understand and apply GC-relevant infrastructure design patterns and reference architectures?,,—,Enter observations or evidence…
,Q20,"Does the architecture embrace composable, modular designs and event-driven models where appropriate?",,—,Enter observations or evidence…
,Q21,Is interoperability and containerization baked into the infrastructure design from the beginning?,,—,Enter observations or evidence…
,Q22,Is there a documented plan and roadmap for quantum and post-quantum cryptography readiness?,,—,Enter observations or evidence…
,Q23,How mature is the use of platform engineering practices — are developer-facing platforms self-service and well-governed?,,—,Enter observations or evidence…
,Q24,"Are orchestration and container management (e.g., Kubernetes) used appropriately and configured to GC standards?",,—,Enter observations or evidence…
Section Average — Modern Engineering Patterns & Platform Design,,,,,
,,,,,
"  Resilience, Sovereignty & Security  —  Section weight: 25%",,,,,
S4,Q25,"Are resilience requirements (availability tiers, fault tolerance, geo-redundancy) formally defined and validated in design?",,—,Enter observations or evidence…
,Q26,"Is the solution's data sovereignty posture clearly documented, including data residency and foreign access risk mitigation?",,—,Enter observations or evidence…
,Q27,"How mature is the zero-trust security architecture — is authentication, authorization, and segmentation enforced throughout?",,—,Enter observations or evidence…
,Q28,"Is encryption applied appropriately at rest, in transit, and in processing, using GC-approved cryptographic standards?",,—,Enter observations or evidence…
,Q29,Has a Threat and Risk Assessment (TRA) or Security Assessment and Authorization (SA&A) been completed and reflected in design?,,—,Enter observations or evidence…
,Q30,"Are security controls validated through automated security testing, vulnerability scanning, and penetration testing?",,—,Enter observations or evidence…
,Q31,"Is there a documented and tested disaster recovery plan, with defined RTO and RPO that align to business requirements?",,—,Enter observations or evidence…
,Q32,Are GC Cloud Guardrails and security baseline configurations implemented and continuously validated?,,—,Enter observations or evidence…
"Section Average — Resilience, Sovereignty & Security",,,,,
,,,,,
"  Operations, Governance & Continuous Management  —  Section weight: 20%",,,,,
S5,Q33,"Are real-time monitoring, alerting, and incident response capabilities in place and actively used?",,—,Enter observations or evidence…
,Q34,"Is activity auditing implemented at the infrastructure level, enabling forensic investigation and compliance verification?",,—,Enter observations or evidence…
,Q35,"How mature is the FinOps practice — are cloud and infrastructure costs tracked, attributed, optimized, and reported?",,—,Enter observations or evidence…
,Q36,"Is there infrastructure-level observability (metrics, logs, traces) that provides end-to-end system visibility?",,—,Enter observations or evidence…
,Q37,"Are resource governance policies enforced — including tagging, cost allocation, and access to shared infrastructure?",,—,Enter observations or evidence…
,Q38,Is there a continuous business need (CBN) process to evaluate whether infrastructure investment remains justified?,,—,Enter observations or evidence…
,Q39,"How mature is the infrastructure change management process — are changes reviewed, approved, and traceable?",,—,Enter observations or evidence…
"Section Average — Operations, Governance & Continuous Management",,,,,
,,,,,
OVERALL TECHNOLOGY & PHYSICAL ARCHITECTURE SCORE,,,,,
