Business Architecture  ·  Connecting strategy to execution through structured design,,,,,
Overall weight in GC EA score: 25%,,,,,
#,Q#,Assessment Question,Score (0–10),Maturity Label,Notes / Evidence
  Defining the Current State  —  Section weight: 5%,,,,,
S1,Q1,"How thoroughly has the current state of this solution been documented, including all processes, data flows, and system dependencies?",,—,Enter observations or evidence…
,Q2,"What entities (data objects, records, clients, files) are currently produced, managed, or maintained by this solution?",,—,Enter observations or evidence…
,Q3,"Have all roles and responsibilities across stakeholders, operators, and service consumers been identified, documented, and formally accepted?",,—,Enter observations or evidence…
,Q4,How well understood is the criticality of this solution to Government of Canada program delivery and citizen outcomes?,,—,Enter observations or evidence…
,Q5,"Are all sub-components of the current solution assessed for their individual criticality, availability, and risk exposure?",,—,Enter observations or evidence…
,Q6,"What is the current level of utilization and demand for the solution (transaction volumes, active users, peak load)?",,—,Enter observations or evidence…
,Q7,"What is the known availability, uptime, and service continuity record of the current solution?",,—,Enter observations or evidence…
,Q8,"How well understood are the total lifecycle costs — including build, operate, maintain, and decommission — of the current solution?",,—,Enter observations or evidence…
,Q9,"What are the current unit economics (cost per transaction, cost per entity managed) and how are they tracked?",,—,Enter observations or evidence…
,Q10,"How mature and current are the performance indicators for this solution, and what trends do they reflect?",,—,Enter observations or evidence…
,Q11,"Is the lifespan and full lifecycle of the solution mapped out, and is the current position within that lifecycle known?",,—,Enter observations or evidence…
,Q12,"What major events (technology refresh, contract renewal, legislative changes) are on the horizon for this solution?",,—,Enter observations or evidence…
,Q13,"How well understood are the specific skills, staffing levels, and capacity requirements to operate and evolve this solution?",,—,Enter observations or evidence…
,Q14,"How are universal requirements — accessibility, official languages, inclusion, and privacy — currently addressed in the solution?",,—,Enter observations or evidence…
Section Average — Defining the Current State,,,,,
,,,,,
  Defining the Business Solution  —  Section weight: 25%,,,,,
S2,Q15,How clearly and completely has the core business problem been defined and agreed upon by all stakeholders?,,—,Enter observations or evidence…
