GC Enterprise Architecture  ·  Assessment Scale,,,
Score,Colour,Label,Description
0,Black,Absent,"No formal architecture. Capabilities are missing, and manual workarounds are the only way to achieve business outcomes."
1,Dark Red,Critical Gaps,"A skeleton exists, but core capabilities (like security or data integrity) are missing. High risk of systemic failure."
2,Red,Fragmented,"Capabilities exist in ""silos."" They are inconsistent, undocumented, and require constant manual intervention to stay synchronized."
3,Orange,Emergent,"Core capabilities are present but brittle. The architecture meets the ""happy path"" but fails under stress or edge cases."
4,Orange-Yellow,Defined,"The architecture meets basic functional requirements. Documentation exists, but Quality Attributes (scalability, maintainability) are an afterthought."
5,Yellow,Integrated,This is the Baseline. All desired capabilities are present and connected. The system is stable and performs as expected under normal conditions.
6,Yellow-Green,Managed,Capabilities are monitored and measured. The architecture can handle predictable growth and has basic fault tolerance.
7,Green,Scalable & Secure,"The architecture is ""hardened."" It handles bursts in demand effortlessly and has proactive security measures built into the design."
8,Dark Green,Agile/Extensible,The architecture is modular. Adding a new desired capability does not require a rewrite; the system is designed to be plugged into and extended.
9,Blue,Predictive,"The architecture uses telemetry and AI/ML to anticipate needs (e.g., auto-scaling before a spike or self-healing before a crash)."
10,Purple,Symbiotic,"The ""North Star"" state. The architecture and business strategy are one. The system is so flexible it can pivot to entirely new business models with minimal architectural friction."
